Promedios,,Mejor,100100010011010011100100100100010100000000001010011001000010
-237,,45,
-207.75,,,
-201.75,,,
-184.5,,,
-180.75,,,
-177.75,,,
-129,,,
-198,,,
-144.75,,,
-208.5,,,
-126.75,,,
-149.25,,,
-108.75,,,
-102,,,
-72.75,,,
-86.25,,,
-48.75,,,
-0.75,,,
-6.75,,,
-8.25,,,
-6.75,,,
-3,,,
-6,,,
-6.75,,,
-4.5,,,
12,,,
8.25,,,
7.5,,,
12.75,,,
5.25,,,
9.75,,,
9.75,,,
5.25,,,
9,,,
9.75,,,
12,,,
9,,,
6.75,,,
9.75,,,
8.25,,,
4.5,,,
10.5,,,
9,,,
10.5,,,
10.5,,,
9,,,
9,,,
8.25,,,
9.75,,,
4.5,,,
8.25,,,
9,,,
11.25,,,
5.25,,,
9.75,,,
12,,,
13.5,,,
12.75,,,
7.5,,,
6.75,,,
10.5,,,
7.5,,,
10.5,,,
12.75,,,
15,,,
6,,,
9.75,,,
7.5,,,
5.25,,,
8.25,,,
12,,,
5.25,,,
5.25,,,
7.5,,,
10.5,,,
5.25,,,
7.5,,,
10.5,,,
12,,,
8.25,,,
6.75,,,
9,,,
8.25,,,
7.5,,,
10.5,,,
3,,,
5.25,,,
9.75,,,
5.25,,,
10.5,,,
9,,,
7.5,,,
3.75,,,
9,,,
12,,,
8.25,,,
10.5,,,
10.5,,,
11.25,,,
10.5,,,
,,,
Promedios,,Mejor,100010100011010011100000000010010000001001001010011000011001 
-261.75,,60,
-255.75,,,
-225.75,,,
-205.5,,,
-183,,,
-193.5,,,
-163.5,,,
-206.25,,,
-128.25,,,
-165,,,
-183.75,,,
-173.25,,,
-138,,,
-109.5,,,
-129.75,,,
-162.75,,,
-106.5,,,
-174.75,,,
-124.5,,,
-60,,,
-84,,,
-81,,,
-55.5,,,
-109.5,,,
-55.5,,,
-108,,,
-81.75,,,
-32.25,,,
-43.5,,,
-43.5,,,
-75,,,
-50.25,,,
-48,,,
-70.5,,,
-57,,,
-49.5,,,
-54,,,
-67.5,,,
-57,,,
-50.25,,,
-85.5,,,
-45.75,,,
-72.75,,,
-36.75,,,
-88.5,,,
-12,,,
-1.5,,,
0.75,,,
9.75,,,
11.25,,,
10.5,,,
9.75,,,
12.75,,,
12,,,
15.75,,,
13.5,,,
23.25,,,
27.75,,,
28.5,,,
36,,,
42,,,
51,,,
52.5,,,
55.5,,,
55.5,,,
56.25,,,
56.25,,,
57,,,
56.25,,,
56.25,,,
51.75,,,
51.75,,,
51.75,,,
55.5,,,
50.25,,,
54.75,,,
51.75,,,
46.5,,,
51,,,
57.75,,,
58.5,,,
60,,,
59.25,,,
55.5,,,
55.5,,,
58.5,,,
58.5,,,
56.25,,,
51.75,,,
51.75,,,
50.25,,,
53.25,,,
54.75,,,
56.25,,,
54,,,
56.25,,,
54.75,,,
57.75,,,
55.5,,,
53.25,,,
,,,
Promedios,,Mejor,000011100010011000100001100100010100011001001010000010011011
-248.1,,75,
-218.7,,,
-186.3,,,
-209.4,,,
-162,,,
-223.2,,,
-179.1,,,
-211.5,,,
-160.5,,,
-71.7,,,
-137.1,,,
-100.2,,,
-75.3,,,
0.9,,,
11.1,,,
9.6,,,
18.6,,,
21.3,,,
30.6,,,
34.2,,,
41.1,,,
45.9,,,
47.7,,,
46.5,,,
48.3,,,
48.9,,,
49.2,,,
48.3,,,
49.5,,,
49.8,,,
52.5,,,
51,,,
54.9,,,
51.9,,,
55.8,,,
52.5,,,
54.9,,,
56.4,,,
54.6,,,
56.1,,,
53.4,,,
51.9,,,
55.2,,,
50.4,,,
50.1,,,
51.3,,,
51.3,,,
54,,,
50.7,,,
50.1,,,
50.1,,,
51.3,,,
49.2,,,
54.9,,,
52.2,,,
49.5,,,
49.8,,,
55.2,,,
54,,,
53.7,,,
56.1,,,
54,,,
50.7,,,
53.4,,,
50.1,,,
53.4,,,
51.3,,,
48.3,,,
47.7,,,
54.6,,,
54.6,,,
56.1,,,
50.7,,,
51.3,,,
50.7,,,
53.4,,,
51.3,,,
54.9,,,
51.9,,,
52.8,,,
54.9,,,
47.1,,,
51.6,,,
47.4,,,
48,,,
54.3,,,
53.4,,,
54,,,
51,,,
49.8,,,
52.8,,,
56.4,,,
55.8,,,
57.9,,,
57.9,,,
61.2,,,
60.3,,,
65.1,,,
65.7,,,
63.6,,,
,,,
Promedios,,Mejor,001010011000011001010001011000001100000011011100100010011001
-255,,45,
-231.3,,,
-172.2,,,
-150.6,,,
-154.5,,,
-115.5,,,
-135.3,,,
-93.3,,,
-114.3,,,
-79.2,,,
-66,,,
-3,,,
25.5,,,
24.6,,,
27.9,,,
30.9,,,
30.6,,,
36.9,,,
35.7,,,
39.6,,,
38.7,,,
36.9,,,
38.4,,,
40.5,,,
37.8,,,
37.8,,,
40.8,,,
41.4,,,
42,,,
42.3,,,
42.6,,,
42,,,
39,,,
42,,,
40.8,,,
40.8,,,
40.8,,,
40.5,,,
37.2,,,
36.9,,,
39,,,
38.4,,,
37.8,,,
33.3,,,
39,,,
37.5,,,
39.3,,,
41.1,,,
41.4,,,
41.7,,,
,,,
Promedios,,Mejor,
-246.6,,90,
-214.5,,,
-191.1,,,
-150,,,
-85.2,,,
-99,,,
-106.5,,,
-57,,,
-119.7,,,
-15,,,
9.6,,,
14.7,,,
24.3,,,
34.5,,,
38.4,,,
38.7,,,
38.7,,,
39.3,,,
38.4,,,
41.7,,,
41.7,,,
37.5,,,
42.3,,,
44.7,,,
42.9,,,
47.7,,,
49.5,,,
47.7,,,
47.1,,,
46.5,,,
45,,,
46.8,,,
44.4,,,
49.2,,,
47.1,,,
49.5,,,
49.5,,,
48.3,,,
47.7,,,
50.1,,,
46.8,,,
47.1,,,
51.3,,,
52.2,,,
55.5,,,
50.7,,,
54.6,,,
58.5,,,
56.1,,,
58.5,,,
58.8,,,
62.7,,,
60.6,,,
60,,,
60.9,,,
62.1,,,
59.7,,,
57.9,,,
59.4,,,
65.7,,,
68.7,,,
64.5,,,
61.8,,,
64.5,,,
65.4,,,
63.3,,,
62.7,,,
62.7,,,
59.1,,,
63.3,,,
60.6,,,
65.1,,,
64.2,,,
64.8,,,
66.9,,,
63.3,,,
63.9,,,
64.8,,,
65.1,,,
64.2,,,
65.7,,,
65.7,,,
62.4,,,
57.6,,,
61.8,,,
63.3,,,
56.7,,,
60.6,,,
64.8,,,
63.6,,,
65.1,,,
64.2,,,
61.8,,,
69.3,,,
65.4,,,
63.6,,,
62.1,,,
61.5,,,
60.3,,,
55.5,,,
56.7,,,
53.7,,,
58.5,,,
60.6,,,
60.9,,,
58.8,,,
57.3,,,
62.7,,,
68.1,,,
68.7,,,
64.2,,,
61.2,,,
63.3,,,
61.5,,,
56.4,,,
59.4,,,
58.2,,,
63.9,,,
64.2,,,
61.5,,,
61.2,,,
60.3,,,
65.1,,,
62.1,,,
64.2,,,
63.6,,,
